title,summary,genre,attendance,year
Distance,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",Drama,51635,1995-11-29
Prison of the Dead,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.",Horror,1409,2014-05-18
Man in the Wilderness,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",Adventure|Western,12082,2020-12-25
"Stolen Collection, (Skradziona kolekcja)","Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",Comedy,7254,2007-06-16
Shark Tale,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,Animation|Children|Comedy,34110,2011-11-07
My Friend Irma Goes West,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,Comedy|Crime|Musical,51415,1994-01-09
Perfect Sisters,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",Drama|Mystery,97242,2003-10-07
Killer's Kiss,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,Crime|Film-Noir,88117,1996-01-16
"Common Thread, A (a.k.a. Sequins) (Brodeuses)",In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,Drama|Romance,79282,2007-11-04
Time of Roses (Ruusujen aika),In congue. Etiam justo.,Sci-Fi,40709,2021-11-28
Courier,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,Comedy|Drama|Romance,82328,2020-07-11
Message in a Bottle,Phasellus in felis. Donec semper sapien a libero. Nam dui.,Romance,9852,2020-06-16
Hava Nagila: The Movie,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",Comedy|Documentary|Musical,90502,1993-05-06
Pronto,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",Comedy|Crime|Thriller,41971,2009-05-09
If God Is Willing and da Creek Don't Rise,Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,Documentary,98676,2014-08-03
One Night of Love,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",Romance,29705,1994-08-13
"Easy Come, Easy Go",Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,Adventure|Musical,15703,2013-10-04
Bear's Kiss,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,Drama|Fantasy|Romance,69465,2018-11-11
"Darwin Awards, The",Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,Adventure|Comedy|Romance,63145,1990-11-01
Wolfsburg,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",Drama,6839,1996-04-08
Guess Who's Coming to Dinner,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",Drama,85970,2020-11-01
"Edukators, The (Die Fetten Jahre sind vorbei)","Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",Comedy|Crime|Drama|Romance,78643,2020-03-16
The Key,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",Drama,26807,1998-09-13
Fire of Conscience (For lung),Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,Action|Crime|Mystery|Thriller,13845,1997-09-11
"Tom, Tom, the Piper's Son",Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,Drama,69930,2000-03-18
Little Murders,Sed ante. Vivamus tortor. Duis mattis egestas metus.,Comedy|Crime,38374,1997-12-24
City of Hope,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",Drama,87548,1995-02-22
Sesame Street Presents Follow That Bird,Nullam molestie nibh in lectus. Pellentesque at nulla.,Children|Comedy,15816,1991-06-24
From Beyond the Grave (Creatures),"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",Horror,67033,2006-08-17
Paris,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Documentary,3909,1993-01-27
Purgatory,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.",Fantasy|Western,68619,2021-04-13
Monument Ave.,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.,Action|Crime|Drama,69058,2020-05-20
"Replacements, The",Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,Comedy,76205,2014-07-04
Now and Then,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Children|Drama,47592,1994-09-09
Air Bud: Golden Receiver,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",Children|Comedy,41843,2014-06-23
Sergio,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,Documentary,97899,2006-06-17
Silent House,Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.,Horror|Thriller,90275,2021-07-10
Film About a Woman Who...,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.",Drama,41562,2016-05-10
Ip Man 2,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",Action,92812,2005-07-02
Brave New World,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",Sci-Fi,28705,1990-09-11
"Ten Commandments, The","Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Adventure|Drama,73679,2011-06-02
Golden Boy,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",Drama,80668,2003-10-10
Household Saints,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",Drama,20919,2006-01-06
Man of the East,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,Action|Comedy|Western,20412,2001-10-02
Jönssonligan på Mallorca,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,Comedy,24443,1998-06-19
Crazy Stone (Fengkuang de shitou),"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",Comedy|Crime,12784,2004-09-02
"Park Avenue: Money, Power and the American Dream",Nunc rhoncus dui vel sem. Sed sagittis.,Documentary,68389,1997-08-13
Von Ryan's Express,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.,Action|Adventure|Drama|War,88034,2005-10-26
Cousins,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",Comedy|Romance,86964,2000-01-07
Man Facing Southeast (Hombre mirando al sudeste),Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,Drama|Sci-Fi,3566,2013-05-23
"Hanging Tree, The","Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",Drama|Romance|Western,93081,2013-03-10
Michael Jackson: Life of a Superstar,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,Documentary,77104,1995-12-30
Prayers for Bobby,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",Drama,25563,2004-01-08
April Showers,Quisque ut erat. Curabitur gravida nisi at nibh.,Drama,32936,2006-10-25
"Banishment, The (Izgnanie)","Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",Drama,77465,2001-04-17
Quarantine,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,Drama|Horror|Mystery|Thriller,30083,2002-03-06
Betty Blue (37°2 le matin),Morbi a ipsum. Integer a nibh.,Drama|Romance,91844,2016-12-16
"Starfighters, The",Etiam vel augue. Vestibulum rutrum rutrum neque.,Drama,90904,1991-08-14
Road Kill (a.k.a. Road Train),Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,Horror|Sci-Fi|Thriller,98184,2006-09-03
Assault on Wall Street ,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,Drama|Thriller,37675,2000-02-17
"Olsen Gang on the Track, The (Olsen-banden på sporet)",Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.,Comedy|Crime,33768,2005-11-10
Broken Trail,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,Action|Adventure|Crime|Drama|Western,53866,2010-07-12
Get Over It,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",Drama,43329,2015-08-19
Thurgood,Maecenas pulvinar lobortis est. Phasellus sit amet erat.,Drama,93203,2001-08-13
"Friends of Eddie Coyle, The","Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",Crime|Drama|Thriller,85717,2012-11-10
"Wall, The (Die Wand)","Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",Drama|Fantasy,83467,1999-07-26
Wonder Boys,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,Comedy|Drama,71028,2017-05-11
Ricky Rapper (Risto Räppääjä),Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,Comedy|Musical,93355,2004-09-05
Strings,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,Adventure|Fantasy,56913,2004-12-24
Rosa Luxemburg,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,Drama,78189,2010-09-21
"Bear, The (Ours, L')","Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",Adventure|Children|Drama,60825,2010-01-04
Saw III,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",Crime|Horror|Thriller,27359,2014-04-16
Young Gods (Hymypoika),Aenean sit amet justo. Morbi ut odio.,Drama,56770,2017-01-24
"Keep, The",Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,Horror|Thriller,43895,2010-12-17
Continental Divide,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",Comedy|Romance,97678,1990-11-13
One Piece Film: Strong World,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",Action|Adventure|Animation|Comedy|Fantasy,95447,1993-01-27
Penthouse,Pellentesque ultrices mattis odio. Donec vitae nisi.,Comedy|Crime|Drama,49963,1994-01-08
There's Only One Sun,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",Drama,61058,2014-03-30
Hitting Home,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",Drama|Romance|Thriller,54571,2016-05-09
Playing It Cool,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,Comedy|Romance,72276,2015-09-22
Red's Dream,Etiam faucibus cursus urna. Ut tellus.,Animation|Children,68920,2012-02-16
Thomasine & Bushrod,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat.",Action|Crime|Western,21171,1997-12-15
Get Well Soon,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,Comedy|Drama|Romance,7957,2016-04-02
Let's Not Get Angry (Ne nous fâchons pas),Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,Comedy|Crime,88604,2018-02-22
"Matador, The",Integer ac leo. Pellentesque ultrices mattis odio.,Comedy|Drama|Thriller,77201,2006-03-21
Magnum Force,Fusce consequat. Nulla nisl.,Action|Crime|Drama|Thriller,19618,2021-11-18
"Autobiography of Miss Jane Pittman, The",Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.,Drama,61396,2001-07-25
"Bullet for the General, A (Quién Sabe?)","Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",Western,83307,1998-04-30
Stranger in the House,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,Thriller,81878,2015-01-30
"Captain Thunder (Capitán Trueno y el Santo Grial, El) (Prince Killian and the Holy Grail)",Quisque ut erat. Curabitur gravida nisi at nibh.,Adventure,80926,2020-10-31
Luna Papa,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,Comedy|Drama|Fantasy,76001,2020-03-12
Almanya - Welcome to Germany (Almanya - Willkommen in Deutschland),Nulla mollis molestie lorem. Quisque ut erat.,Comedy|Drama,77353,2007-06-29
Blue Juice,In sagittis dui vel nisl. Duis ac nibh.,Comedy|Drama,72051,2006-10-26
"Duchess of Langeais, The (a.k.a. Don't Touch the Axe) (Ne touchez pas la hache)",Duis bibendum. Morbi non quam nec dui luctus rutrum.,Drama|Romance,11029,1996-07-28
Nancy Drew: Detective,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",Comedy|Mystery,54923,2001-05-31
Fuhrer Ex (Führer EX),Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,Drama,81796,2005-09-10
The Brain,Etiam vel augue. Vestibulum rutrum rutrum neque.,Comedy|Crime,83356,1996-01-13
Personal Effects,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,Drama,18131,2010-12-02
"Avengers, The",Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,Action|Adventure,70091,2001-02-03
Thirst (Pyaasa),Nulla nisl. Nunc nisl.,Drama|Musical|Romance,2753,2008-12-02
Man About Town,Nunc purus. Phasellus in felis. Donec semper sapien a libero.,Comedy|Drama,67141,1993-08-07
"Baby, the Rain Must Fall",Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,Drama,27335,2006-06-03
Memento,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,Mystery|Thriller,56178,2009-07-20
"Dark Angel: Ascent, The","In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",Horror|Romance,97962,2013-06-08
